,12am,01am,02am,03am,04am,05am,06am,07am,08am,09am,10am,11am,12pm,01pm,02pm,03pm,04pm,05pm,06pm,07pm,08pm,09pm,10pm,11pm
2022-10-16,19070.68,19137.38,19145.26,19116.99,19123.72,19137.92,19151.11,19136.73,19137.01,19167.22,19142.64,19128.42,19145.56,19134.75,19129.99,19131.67,19158.71,19142.04,19135.66,19136.29,19378.79,19333.88,19153.36,19303.96
2022-10-17,19261.4,19233.09,19177.6,19200.53,19190.62,19230.21,19272.82,19240.84,19298.03,19260.92,19340.64,19398.03,19455.24,19522.04,19590.6,19473.46,19536.94,19512.01,19522.61,19518.22,19522.61,19529.41,19516.53,19518.66
2022-10-18,19548.9,19598.47,19535.57,19491.61,19548.08,19584.96,19555.49,19645.77,19672.32,19532.26,19527.74,19533.68,19566.25,19632.15,19546.82,19414.63,19373.77,19419.75,19407.43,19217.18,19218.16,19367.02,19295.48,19327.79
2022-10-19,19327.95,19235.97,19314.88,19291.79,19284.21,19277.91,19254.89,19191.19,19220.81,19194.27,19272.47,19221.16,19201.01,19166.63,19119.48,19155.76,19267.48,19176.25,19184.65,19186.78,19228.0,19195.41,19197.36,19140.62
2022-10-20,19125.07,18960.46,19047.34,19062.04,19041.59,19183.89,19143.34,19128.97,19145.11,19115.3,19185.44,19205.11,19209.43,19134.73,19176.7,19327.12,19255.45,19179.49,19093.84,19059.65,19061.46,19029.89,19073.65,19035.1
2022-10-21,19044.43,19050.78,19064.71,19109.72,19051.56,19048.01,19043.25,19034.99,19029.56,18980.38,19010.93,19004.12,18946.94,18879.32,19071.68,18976.92,19171.6,19131.72,19152.99,19141.63,19189.76,19181.0,19156.05,19191.31
2022-10-22,19167.57,19166.04,19158.01,19130.33,19152.01,19150.73,19140.02,19146.06,19163.81,19158.72,19144.88,19167.68,19179.44,19183.43,19200.64,19236.44,19235.32,19194.36,19154.77,19173.84,19186.45,19219.67,19206.51,19196.32
2022-10-23,19206.32,19199.12,19179.42,19198.69,19199.65,19188.65,19178.98,19177.25,19164.41,19182.09,19184.47,19172.07,19153.34,19153.94,19179.09,19190.9,19194.63,19181.07,19483.08,19440.49,19501.77,19497.83,19550.55,19593.54
2022-10-24,19571.33,19518.06,19413.32,19416.04,19391.72,19336.36,19335.05,19298.44,19326.57,19342.81,19387.41,19405.33,19427.81,19373.74,19354.81,19276.73,19305.83,19275.36,19288.29,19335.84,19343.17,19382.42,19366.47,19361.78
2022-10-25,19332.52,19311.18,19304.0,19313.69,19342.5,19342.67,19338.18,19332.08,19308.34,19297.54,19267.11,19298.98,19303.56,19330.76,19488.61,19493.57,19753.26,19815.2,20123.26,20276.24,20273.77,20191.78,20235.05,20069.19
2022-10-26,20086.6,20171.27,20239.41,20214.93,20256.64,20209.53,20190.06,20225.76,20358.03,20684.56,20603.67,20669.9,20612.15,20554.02,20571.37,20842.23,20849.71,20762.94,20825.84,20698.14,20769.37,20751.63,20746.78,20822.27
2022-10-27,20774.75,20759.08,20731.81,20700.46,20760.23,20807.28,20808.28,20723.58,20714.04,20715.98,20613.81,20550.35,20621.02,20730.49,20520.98,20569.89,20564.11,20573.17,20586.27,20585.05,20631.24,20398.36,20409.69,20269.95
2022-10-28,20293.26,20287.42,20325.36,20225.99,20294.16,20254.44,20291.23,20268.81,20079.45,20187.08,20207.05,20181.86,20179.01,20211.65,20480.76,20508.25,20485.45,20712.64,20635.55,20631.12,20613.65,20635.06,20599.96,20636.87
2022-10-29,20597.97,20628.48,20634.6,20744.66,20762.63,20684.05,20662.8,20689.9,20776.78,20929.49,20960.57,20783.97,20706.9,20778.04,20786.94,20815.22,20933.67,20870.06,20821.71,20859.28,20844.71,20861.03,20854.93,20760.3
2022-10-30,20819.39,20716.8,20788.74,20760.48,20782.9,20753.96,20809.13,20899.26,20855.85,20787.69,20698.75,20693.98,20776.77,20734.05,20653.8,20744.16,20683.81,20606.82,20666.29,20680.67,20653.73,20688.85,20693.12,20590.68
2022-10-31,20629.07,20546.38,20528.24,20476.74,20525.12,20563.18,20549.63,20527.7,20552.04,20488.94,20717.96,20757.21,20732.51,20697.7,20317.58,20336.52,20399.67,20372.43,20374.56,20433.55,20371.88,20401.86,20408.88,20480.58
2022-11-01,20491.67,20453.73,20512.56,20575.67,20481.62,20494.95,20527.6,20621.98,20594.93,20582.3,20592.8,20610.92,20523.0,20542.71,20410.73,20398.29,20442.73,20405.38,20434.07,20461.25,20447.45,20479.07,20450.98,20470.46
2022-11-02,20482.48,20516.21,20506.44,20513.75,20519.69,20517.96,20487.74,20475.98,20423.55,20500.82,20467.87,20409.82,20431.36,20395.64,20398.74,20435.05,20410.68,20526.79,20375.44,20447.42,20249.46,20170.32,20150.4,20103.84
2022-11-03,20152.05,20201.56,20305.16,20283.6,20309.08,20358.84,20376.32,20307.67,20305.22,20292.91,20314.99,20261.86,20123.27,20109.66,20124.1,20315.11,20248.86,20295.17,20226.23,20243.11,20263.24,20236.94,20259.42,20193.05
